ticker,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
2330.TW,1d_base,AlwaysUp,0.5,0.5104166666666666,0.5104166666666666,1.0,0.6758620689655173,3.729445219229083,0.5,0.5,1.0,0.6666666666666666,1.894915557125839,0.8637691927886391,-0.5327900146521029,1.3646693025488537,0.9973958333333334,1
2330.TW,1d_base,Random,0.42000000000000004,0.5052083333333334,0.5157894736842106,0.5,0.5077720207253886,0.050296999840931056,0.4947916666666667,0.49473684210526314,0.4895833333333333,0.49214659685863876,-0.5673695063241679,0.8637691927886391,-0.7112541720714307,-0.8809812977382959,0.9765625,9
2330.TW,1d_vol,AlwaysUp,0.5,0.5104166666666666,0.5104166666666666,1.0,0.6758620689655173,3.729445219229083,0.5,0.5,1.0,0.6666666666666666,1.894915557125839,0.8637691927886391,-0.5327900146521029,1.3646693025488537,0.9973958333333334,1
2330.TW,1d_vol,Random,0.42000000000000004,0.5052083333333334,0.5157894736842106,0.5,0.5077720207253886,0.050296999840931056,0.4947916666666667,0.49473684210526314,0.4895833333333333,0.49214659685863876,-0.5673695063241679,0.8637691927886391,-0.7112541720714307,-0.8809812977382959,0.9765625,9
2330.TW,5d_base,AlwaysUp,0.5,0.5456919060052219,0.5456919060052219,1.0,0.706081081081081,3.7099125586496724,0.587467362924282,0.587467362924282,1.0,0.7401315789473685,1.9034196658424523,0.8291643707616587,-0.5327900146521032,1.368018543097825,0.9947780678851175,1
2330.TW,5d_base,Random,0.41000000000000003,0.5430809399477807,0.5894736842105263,0.5358851674641149,0.5614035087719298,1.9040223936894733,0.4751958224543081,0.5631578947368421,0.47555555555555556,0.5156626506024097,0.6877315089031117,0.8291643707616587,-0.5033010001610683,0.9151117261395874,0.9947780678851175,1
2330.TW,5d_vol,AlwaysUp,0.5,0.5456919060052219,0.5456919060052219,1.0,0.706081081081081,3.7099125586496724,0.587467362924282,0.587467362924282,1.0,0.7401315789473685,1.9034196658424523,0.8291643707616587,-0.5327900146521032,1.368018543097825,0.9947780678851175,1
2330.TW,5d_vol,Random,0.41000000000000003,0.5430809399477807,0.5894736842105263,0.5358851674641149,0.5614035087719298,1.9040223936894733,0.4751958224543081,0.5631578947368421,0.47555555555555556,0.5156626506024097,0.6877315089031117,0.8291643707616587,-0.5033010001610683,0.9151117261395874,0.9947780678851175,1
006208.TW,1d_base,AlwaysUp,0.5,0.5275590551181102,0.5275590551181102,1.0,0.6907216494845361,2.199463188811785,0.5354330708661418,0.5354330708661418,1.0,0.6974358974358974,1.1495456676176676,0.5438972962629509,-0.49429804510348097,1.250241515797286,0.9973753280839895,1
006208.TW,1d_base,Random,0.42000000000000004,0.48293963254593175,0.5106382978723404,0.47761194029850745,0.493573264781491,-0.36077175984342214,0.49081364829396323,0.526595744680851,0.4852941176470588,0.5051020408163265,0.06765368296422003,0.5438972962629509,-0.39264155642061804,0.2970809873366379,0.9763779527559056,9
006208.TW,1d_vol,AlwaysUp,0.5,0.5275590551181102,0.5275590551181102,1.0,0.6907216494845361,2.199463188811785,0.5354330708661418,0.5354330708661418,1.0,0.6974358974358974,1.1495456676176676,0.5438972962629509,-0.49429804510348097,1.250241515797286,0.9973753280839895,1
006208.TW,1d_vol,Random,0.42000000000000004,0.48293963254593175,0.5106382978723404,0.47761194029850745,0.493573264781491,-0.36077175984342214,0.49081364829396323,0.526595744680851,0.4852941176470588,0.5051020408163265,0.06765368296422003,0.5438972962629509,-0.39264155642061804,0.2970809873366379,0.9763779527559056,9
006208.TW,5d_base,AlwaysUp,0.5,0.5894736842105263,0.5894736842105263,1.0,0.7417218543046358,2.100347138634948,0.6052631578947368,0.6052631578947368,1.0,0.7540983606557377,1.039601121818614,0.5503166616910866,-0.4942980451034812,1.1837979394314648,0.9947368421052631,1
006208.TW,5d_base,Random,0.42000000000000004,0.4763157894736842,0.5668449197860963,0.4732142857142857,0.5158150851581509,0.1949401580674568,0.5184210526315789,0.6256684491978609,0.508695652173913,0.5611510791366906,1.6866835655234933,0.5503166616910866,-0.26882346191131645,1.8144344463212958,0.9947368421052631,1
006208.TW,5d_vol,AlwaysUp,0.5,0.5894736842105263,0.5894736842105263,1.0,0.7417218543046358,2.100347138634948,0.6052631578947368,0.6052631578947368,1.0,0.7540983606557377,1.039601121818614,0.5503166616910866,-0.4942980451034812,1.1837979394314648,0.9947368421052631,1
006208.TW,5d_vol,Random,0.42000000000000004,0.4763157894736842,0.5668449197860963,0.4732142857142857,0.5158150851581509,0.1949401580674568,0.5184210526315789,0.6256684491978609,0.508695652173913,0.5611510791366906,1.6866835655234933,0.5503166616910866,-0.26882346191131645,1.8144344463212958,0.9947368421052631,1
0050.TW,1d_base,AlwaysUp,0.5,0.5300261096605744,0.5300261096605744,1.0,0.6928327645051194,2.3161517640864195,0.5442708333333334,0.5442708333333334,1.0,0.7048903878583473,1.1971502762707371,0.5652504951534871,-0.4947996229474185,1.2546797828894143,0.9973958333333334,1
0050.TW,1d_base,Random,0.4,0.4804177545691906,0.5105263157894737,0.47783251231527096,0.49363867684478374,-0.13319470552918178,0.5026041666666666,0.5473684210526316,0.49760765550239233,0.5213032581453634,0.05471348320909453,0.5652504951534871,-0.4434010860228218,0.2867625663414671,0.9973958333333334,1
0050.TW,1d_vol,AlwaysUp,0.5,0.5300261096605744,0.5300261096605744,1.0,0.6928327645051194,2.3161517640864195,0.5442708333333334,0.5442708333333334,1.0,0.7048903878583473,1.1971502762707371,0.5652504951534871,-0.4947996229474185,1.2546797828894143,0.9973958333333334,1
0050.TW,1d_vol,Random,0.4,0.4804177545691906,0.5105263157894737,0.47783251231527096,0.49363867684478374,-0.13319470552918178,0.5026041666666666,0.5473684210526316,0.49760765550239233,0.5213032581453634,0.05471348320909453,0.5652504951534871,-0.4434010860228218,0.2867625663414671,0.9973958333333334,1
0050.TW,5d_base,AlwaysUp,0.5,0.5848563968668408,0.5848563968668408,1.0,0.7380560131795717,2.2054845791367796,0.6109660574412533,0.6109660574412533,1.0,0.7585089141004863,1.0500195949515323,0.5326565858848251,-0.4947996229474191,1.1690184123777334,0.9947780678851175,1
0050.TW,5d_base,Random,0.4900000000000001,0.5248041775456919,0.6105263157894737,0.5178571428571429,0.5603864734299517,1.34757617957943,0.4725848563968668,0.5842105263157895,0.47435897435897434,0.5235849056603774,0.160925922073758,0.5326565858848251,-0.3818236557472684,0.45242397640960014,0.9843342036553525,2
