Date,Open,High,Low,Close,Volume,return_1d,ma_5,ma_20,ma_ratio,bias_5,bias_20,vol_chg,volume_ratio_20,rsi_14,macd,macd_signal,macd_hist,atr_ratio_14,volatility_20,bb_width_20,future_return,target,pred_prob_up,target_position,signal_direction,confirmed_target_position,asset_ret,position,position_chg,cost,strategy_ret_gross,strategy_ret,buy_hold_ret,strategy_cum,buy_hold_cum
2024-05-29,331.33121737344726,338.565523429636,328.4374949509717,329.4020690917969,10582351,-0.014429939986570384,326.3154052734375,313.3660003662109,1.0413235797504943,0.009459142193341874,0.05117360756063394,-0.2684238291799339,1.1693784657931898,66.97250475882524,0.017929054492031048,0.010124570646894761,0.0078044838451362866,0.023844386337006918,0.022584587757625837,0.12099781945428538,0.0131770442919934,1,0.39422223,-1.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-05-30,323.61460571289064,324.0968927556818,318.3094482421875,318.3094482421875,9667565,-0.03367501873984313,326.411865234375,314.3546890258789,1.0383553248270572,-0.02482267912157443,0.012580563784696963,-0.08644449612378191,1.0833510215976272,58.87097803018202,0.016894135778511586,0.011478483673218128,0.005415652105293458,0.025974034041901132,0.022528134799381063,0.11276490390728228,0.04545450187548594,1,0.53660333,1.0,1,0.0,-0.03367501873984313,0.0,0.0,0.0,-0.0,-0.0,-0.03367501873984313,1.0,0.9663249812601569
2024-05-31,320.2386219200721,322.6500573260967,312.52202862079326,313.4866027832031,20471487,-0.015151436709207822,325.8331298828125,314.23411865234374,1.0369120045913967,-0.03789217844130788,-0.0023788501145148855,1.1175432489980675,2.3097282376193142,56.589181128780666,0.014410944355485454,0.012064975809671594,0.0023459685458138597,0.02747253304720453,0.018816133546519904,0.1127356098397413,0.06153833273836917,1,0.525805,1.0,1,1.0,-0.015151436709207822,0.0,0.0,0.0,-0.0,-0.0,-0.015151436709207822,1.0,0.9516837694660671
2024-06-03,320.72087907649643,327.95518461957533,316.8625827868544,325.06146240234375,9056672,0.03692298017324025,324.0968994140625,314.9575485229492,1.0290177229724258,0.002976156174357536,0.03208024042217339,-0.5575957916491362,1.0470144429642128,63.815794403494884,0.014507333699942034,0.012553447387725684,0.00195388631221635,0.02861382079057314,0.020114416136163254,0.1159516291183595,0.010385749990564852,1,0.2758399,-1.0,-1,1.0,0.03692298017324025,1.0,1.0,0.001,0.03692298017324025,0.03592298017324025,0.03692298017324025,1.0359229801732401,0.9868227704172573
2024-06-04,329.8843197872167,332.7780418906134,322.1677275114924,324.57916259765625,11383907,-0.001483718805431744,322.1677490234375,315.4639495849609,1.021250603903541,0.007484962667828388,0.02889462654825614,0.25696359545758085,1.2796700915207653,61.904761904761905,0.014723051286232733,0.012987368167427096,0.0017356831188056372,0.029293149439065184,0.019992217973305415,0.11890939019963688,0.022288288339110895,1,0.29199472,-1.0,-1,-1.0,-0.001483718805431744,1.0,0.0,0.0,-0.001483718805431744,-0.001483718805431744,-0.001483718805431744,1.0343859617665783,0.985358602915161
2024-06-05,325.5437354821001,334.7071887771518,324.579161451042,333.74261474609375,13179253,0.02823179428741196,323.0358581542969,316.66966705322267,1.0201035708923907,0.03314417369319678,0.053914060831098176,0.1577091239413675,1.419527574480441,65.85366230082266,0.016493845599550628,0.013688663653851803,0.002805181945698825,0.02962428311149195,0.020399211655613547,0.1277009908743693,0.021676326741634444,1,0.26493144,-1.0,-1,-1.0,0.02823179428741196,-1.0,2.0,0.002,-0.02823179428741196,-0.03023179428741196,0.02823179428741196,1.0031146181566644,1.0131770442919934
2024-06-06,339.0477769492329,339.5300639719203,331.3311845862347,332.7780456542969,10257557,-0.0028901586107926702,325.92957763671876,317.73069763183594,1.0258044943909799,0.021012109631889375,0.04735881088800786,-0.22168904413626478,1.0719829773706877,63.9751608941292,0.01783095294841139,0.014517121512763721,0.0033138314356476704,0.030020709142373692,0.02044748360572949,0.13400543886268262,0.02463769219066192,1,0.28396785,-1.0,-1,-1.0,-0.0028901586107926702,-1.0,0.0,0.0,0.0028901586107926702,0.0028901586107926702,-0.0028901586107926702,1.006013778507942,1.0102488019331755
2024-06-07,330.8488975635473,332.7780456542969,326.9906013820482,332.7780456542969,7913632,0.0,329.7878662109375,318.9846435546875,1.033867532103933,0.009066978351006894,0.0432415866353284,-0.22850713868809114,0.8214139560216066,67.76315981188463,0.018637886020860087,0.015341274414382995,0.003296611606477092,0.029813669749730827,0.02012627939236722,0.13637207563114584,0.020289842579250372,1,0.2951599,-1.0,-1,-1.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,0.0,1.006013778507942,1.0102488019331755
2024-06-11,323.13231211926967,330.84890464749105,320.2385899211867,328.4374694824219,11064870,-0.013043457128731895,330.46306762695315,320.1421325683594,1.0322386028224197,-0.006129574960000994,0.02591141892981308,0.39820375776887285,1.1252451689131062,63.75001384180478,0.01825530962642529,0.015924081456791455,0.002331228169633836,0.031990772940239616,0.020321732849831724,0.1320442310140683,0.04104322529912219,1,0.3837362,-1.0,-1,-1.0,-0.013043457128731895,-1.0,0.0,0.0,0.013043457128731895,0.013043457128731895,-0.013043457128731895,1.019135676098824,0.9970716649958073
2024-06-12,330.36661547283796,339.04778201081035,330.36661547283796,331.8134765625,10540277,0.01027899491917994,331.90993041992186,321.49253540039064,1.0324032251839292,-0.0002906025056250705,0.03210320621987539,-0.047410679022889535,1.0370975951229278,61.073829208589345,0.01818757730833666,0.016376780627100497,0.0018107966812361646,0.03176910225032538,0.0203278241680726,0.12722342766732714,0.08671146810996633,1,0.24722281,-1.0,-1,-1.0,0.01027899491917994,-1.0,0.0,0.0,-0.01027899491917994,-0.01027899491917994,0.01027899491917994,1.0086599856622491,1.0073205595743575
