ticker,name,config,target_horizon,strategy_mode,include_volatility_features,feature_count,clean_rows,train_rows,val_rows,test_rows,test_start,test_end,best_model,threshold,val_accuracy,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,excess_return,test_strategy_max_drawdown,test_strategy_sharpe,buy_hold_max_drawdown,buy_hold_sharpe,entry_count,holding_ratio_metric,zero_ratio,long_exposure_ratio,short_ratio,avg_abs_position,position_counts,confusion_matrix,strategy_final,buy_hold_final,strategy_min_date,strategy_min,strategy_max_date,strategy_max,config_label
0050.TW,????50 ETF,5d_vol,5,five_day_confirm,True,13,1913,1147,383,383,2024-05-24,2025-12-23,XGBoost,0.44,0.4986945169712793,0.6081632653061224,1.0623861326194175,0.5613577023498695,0.6309523809523809,0.6794871794871795,0.654320987654321,1.0962624671867365,0.5326565858848258,0.5636058813019105,-0.3659059438703593,1.3510926957040033,-0.27484996186005,1.205280439517541,5,1.2010443864229765,0.0365535248041775,0.8877284595300261,0.0757180156657963,1.3524804177545693,"{""1.0"": 191, ""2.0"": 149, ""-1.0"": 29, ""0.0"": 14}","[[56, 93], [75, 159]]",2.0962624671867363,1.5326565858848258,2024-08-05,0.7614263423901374,2025-11-12,2.3241673063735857,5???/???
006208.TW,???50 ETF,1d_base,1,one_day,False,9,1904,1142,381,381,2024-06-11,2025-12-30,LogisticRegression_Ridge,0.4,0.4986876640419947,0.4879356568364611,0.8073548851841827,0.5223097112860893,0.5597826086956522,0.5049019607843137,0.5309278350515464,0.5702228590140062,0.5438972962629482,0.0263255627510579,-0.2840052500425941,1.2862440000173905,-0.2744932405443784,1.252619298677745,1,0.963254593175853,0.0026246719160104,0.9763779527559056,0.0209973753280839,1.005249343832021,"{""1.0"": 369, ""-1.0"": 8, ""2.0"": 3, ""0.0"": 1}","[[96, 81], [101, 103]]",1.5702228590140062,1.5438972962629482,2025-04-22,0.9339361886650408,2025-12-29,1.5707492816630413,1?/???
2308.TW,???,1d_vol,1,one_day,True,13,1921,1152,384,385,2024-06-03,2025-12-30,PCA_LogReg,0.42,0.5286458333333334,0.2901960784313726,0.2607275633297188,0.4987012987012987,0.5204081632653061,0.5074626865671642,0.5138539042821159,1.8411181954848308,1.9563639838995208,-0.1152457884146898,-0.4802471298536437,1.5257766100105306,-0.358857125655988,1.9071953593276223,7,1.0753246753246752,0.0181818181818181,0.9818181818181818,0.0,1.0753246753246752,"{""1.0"": 342, ""2.0"": 36, ""0.0"": 7}","[[90, 94], [99, 102]]",2.841118195484831,2.9563639838995206,2025-04-09,0.6914349755100059,2025-10-28,3.4147274218123926,1?/???
2317.TW,??,5d_base,5,five_day_confirm,False,9,1910,1146,382,382,2024-05-30,2025-12-23,LogisticRegression_Ridge,0.44,0.5235602094240838,0.3,0.8637196097996158,0.5523560209424084,0.6413793103448275,0.4386792452830189,0.5210084033613446,0.9579257509290846,0.3489370734625341,0.6089886774665505,-0.5022400600540271,1.2053941678221192,-0.5033112612834005,0.6947553965994797,15,0.756544502617801,0.1858638743455497,0.7696335078534031,0.0445026178010471,0.8455497382198953,"{""1.0"": 282, ""0.0"": 71, ""-1.0"": 17, ""2.0"": 12}","[[118, 52], [119, 93]]",1.9579257509290848,1.348937073462534,2025-04-09,0.7598272319529656,2025-10-30,2.137243939547598,5???/???
2330.TW,???,5d_vol,5,five_day_confirm,True,13,1915,1149,383,383,2024-05-30,2025-12-23,RandomForest,0.43,0.5169712793733682,0.5861297539149888,1.8178385426607249,0.4986945169712793,0.5863874345549738,0.4977777777777777,0.5384615384615384,0.957367831694032,0.8291645082652164,0.1282033234288155,-0.3353781440879786,1.1755110079965263,-0.3051465129199089,1.3290088042321997,6,1.0026109660574412,0.0443864229765013,0.9190600522193212,0.0365535248041775,1.0757180156657964,"{""1.0"": 306, ""2.0"": 46, ""0.0"": 17, ""-1.0"": 14}","[[79, 79], [113, 112]]",1.957367831694032,1.8291645082652164,2024-08-05,0.8372359180495182,2025-11-03,1.977051095651945,5???/???
2454.TW,???,5d_vol,5,five_day_confirm,True,13,1917,1150,383,384,2024-05-29,2025-12-23,PCA_LogReg,0.4,0.4908616187989556,0.6299810246679317,1.6759531427322027,0.5338541666666666,0.525679758308157,0.8877551020408163,0.6603415559772297,0.2170558587250157,0.1465316941615411,0.0705241645634746,-0.3933095745726348,0.5055943684744577,-0.3247197020606606,0.4232461457894044,1,1.0260416666666667,0.0052083333333333,0.9895833333333334,0.0052083333333333,1.0364583333333333,"{""1.0"": 364, ""2.0"": 16, ""0.0"": 2, ""-1.0"": 2}","[[31, 157], [22, 174]]",1.2170558587250158,1.146531694161541,2024-08-05,0.7271615800062337,2025-09-16,1.3966300078468497,5???/???
