ticker,name,config,model,threshold_used,val_accuracy,val_precision,val_recall,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,test_strategy_max_drawdown,test_strategy_sharpe,test_holding_ratio,test_entry_count
0050.TW,????50 ETF,1d_base,LogisticRegression_Ridge,0.45000000000000007,0.5274151436031331,0.5398550724637681,0.7339901477832512,0.6221294363256785,0.8680558131213547,0.5286458333333334,0.5492957746478874,0.7464114832535885,0.6328600405679513,0.3324572109236843,0.5652504951534847,-0.35441331743677595,0.8513384507838974,0.9973958333333334,2
0050.TW,????50 ETF,1d_base,PCA_LogReg,0.4,0.5300261096605744,0.5389830508474577,0.7832512315270936,0.6385542168674698,0.8669021530223338,0.5494791666666666,0.5584415584415584,0.8229665071770335,0.6653771760154739,0.5850187470039578,0.5652504951534847,-0.2748499618600494,1.2828243185952706,1.0052083333333333,1
0050.TW,????50 ETF,1d_base,RandomForest,0.41000000000000003,0.5117493472584856,0.5425531914893617,0.5024630541871922,0.5217391304347826,0.6990067631145507,0.4973958333333333,0.5350877192982456,0.583732057416268,0.5583524027459954,0.5841210457304271,0.5652504951534847,-0.31251909081483986,1.1706346219317854,1.0520833333333333,4
0050.TW,????50 ETF,1d_base,XGBoost,0.4,0.5117493472584856,0.5487804878048781,0.4433497536945813,0.4904632152588556,0.1317214683724386,0.5,0.5402843601895735,0.5454545454545454,0.5428571428571428,0.2823038807134768,0.5652504951534847,-0.4725716378173821,0.6578740815072557,0.9609375,1
0050.TW,????50 ETF,1d_vol,LogisticRegression_Ridge,0.43000000000000005,0.5039164490861618,0.5261044176706827,0.645320197044335,0.5796460176991151,0.8656468778177984,0.5104166666666666,0.5379061371841155,0.7129186602870813,0.6131687242798354,0.2602879519424879,0.5652504951534847,-0.374121738990694,0.7122739970869434,0.984375,3
0050.TW,????50 ETF,1d_vol,PCA_LogReg,0.4,0.5221932114882507,0.5347222222222222,0.7586206896551724,0.6272912423625254,0.8653087732665155,0.5208333333333334,0.5418060200668896,0.7751196172248804,0.6377952755905512,0.5850187470039578,0.5652504951534847,-0.2748499618600494,1.2828243185952706,1.0052083333333333,1
0050.TW,????50 ETF,1d_vol,RandomForest,0.4,0.5117493472584856,0.5357142857142857,0.5911330049261084,0.5620608899297423,0.6075316810975129,0.5234375,0.5511811023622047,0.6698564593301436,0.6047516198704104,0.673347393743845,0.5652504951534847,-0.2748499618600493,1.3525688847037138,1.0442708333333333,1
0050.TW,????50 ETF,1d_vol,XGBoost,0.4,0.48825065274151436,0.5181347150259067,0.49261083743842365,0.5050505050505051,0.13824211298795674,0.5338541666666666,0.5669642857142857,0.6076555023923444,0.5866050808314087,0.37574273154567495,0.5652504951534847,-0.4335432254299816,0.7945554747506955,0.9713541666666666,1
0050.TW,????50 ETF,5d_base,RandomForest,0.4,0.5248041775456919,0.5660377358490566,0.8035714285714286,0.6642066420664207,0.9077659216728258,0.5848563968668408,0.6112759643916914,0.8803418803418803,0.7215411558669002,0.5760287867354779,0.5326565858848258,-0.426476489177786,0.9397209053813209,1.3368146214099217,1
0050.TW,????50 ETF,5d_base,LogisticRegression_Ridge,0.4,0.587467362924282,0.5863874345549738,1.0,0.7392739273927392,0.8478646601453759,0.608355091383812,0.6105263157894737,0.9914529914529915,0.755700325732899,0.5520275792100939,0.5326565858848258,-0.2748499618600492,1.1112525114478442,1.0156657963446476,1
