config,avg_test_accuracy,avg_test_f1,avg_strategy_return,avg_buy_hold_return,avg_excess_return,avg_max_drawdown,avg_sharpe,win_vs_bh,config_label
1d_base,0.5134404456239271,0.4306056892982839,0.5777690170799572,0.7560316829984662,-0.17826266591850884,-0.39089306209665603,0.936126605980561,2,1?/???
1d_vol,0.5186874396484248,0.45644828116726366,0.545604676870178,0.7560316829984662,-0.21042700612828816,-0.3843499022400994,0.8196645003854902,0,1?/???
5d_base,0.5414320393453783,0.6207363321282616,0.4309276873855372,0.7117282258198473,-0.28080053843431,-0.4588330287010221,0.7069638570045922,2,5???/???
5d_vol,0.5292543009897025,0.5738492218283331,0.5598866309818341,0.7117282258198473,-0.1518415948380132,-0.3977712329814616,0.8894035909525208,4,5???/???
