ticker,name,config,target_horizon,strategy_mode,include_volatility_features,feature_count,clean_rows,train_rows,val_rows,test_rows,test_start,test_end,best_model,threshold,val_accuracy,val_f1,val_strategy_total_return,test_accuracy,test_precision,test_recall,test_f1,test_strategy_total_return,test_buy_hold_total_return,excess_return,test_strategy_max_drawdown,test_strategy_sharpe,buy_hold_max_drawdown,buy_hold_sharpe,entry_count,holding_ratio_metric,zero_ratio,long_exposure_ratio,short_ratio,avg_abs_position,position_counts,confusion_matrix,strategy_final,buy_hold_final,strategy_min_date,strategy_min,strategy_max_date,strategy_max
0050.TW,????50 ETF,1d_base,1,one_day,False,9,1917,1150,383,384,2024-05-29,2025-12-30,LogisticRegression_Ridge,0.45000000000000007,0.5274151436031331,0.6221294363256785,0.8680558131213547,0.5286458333333334,0.5492957746478874,0.7464114832535885,0.6328600405679513,0.3324572109236843,0.5652504951534847,-0.2327932842298004,-0.35441331743677595,0.8513384507838974,-0.2748499618600496,1.257422680281748,2,0.9973958333333334,0.005208333333333333,0.9921875,0.0026041666666666665,1.0026041666666667,"{""1.0"": 378, ""2.0"": 3, ""0.0"": 2, ""-1.0"": 1}","[[47, 128], [53, 156]]",1.3324572109236843,1.5652504951534847,2025-04-22,0.7888283041140898,2025-12-29,1.3345023024686886
0050.TW,????50 ETF,1d_vol,1,one_day,True,13,1917,1150,383,384,2024-05-29,2025-12-30,LogisticRegression_Ridge,0.43000000000000005,0.5039164490861618,0.5796460176991151,0.8656468778177984,0.5104166666666666,0.5379061371841155,0.7129186602870813,0.6131687242798354,0.2602879519424879,0.5652504951534847,-0.3049625432109968,-0.374121738990694,0.7122739970869434,-0.2748499618600496,1.257422680281748,3,0.984375,0.018229166666666668,0.9791666666666666,0.0026041666666666665,0.9895833333333334,"{""1.0"": 373, ""0.0"": 7, ""2.0"": 3, ""-1.0"": 1}","[[47, 128], [60, 149]]",1.2602879519424879,1.5652504951534847,2025-04-22,0.7653250046110316,2025-12-29,1.2622222761471666
0050.TW,????50 ETF,5d_base,5,five_day_confirm,False,9,1913,1147,383,383,2024-05-24,2025-12-23,RandomForest,0.4,0.5248041775456919,0.6642066420664207,0.9077659216728258,0.5848563968668408,0.6112759643916914,0.8803418803418803,0.7215411558669002,0.5760287867354779,0.5326565858848258,0.043372200850652076,-0.426476489177786,0.9397209053813209,-0.27484996186005006,1.205280439517541,1,1.3368146214099217,0.005221932114882507,0.9947780678851175,0.0,1.3368146214099217,"{""1.0"": 250, ""2.0"": 131, ""0.0"": 2}","[[18, 131], [28, 206]]",1.5760287867354779,1.5326565858848258,2025-04-09,0.6690305859669577,2025-10-31,1.6236339285466115
0050.TW,????50 ETF,5d_vol,5,five_day_confirm,True,13,1913,1147,383,383,2024-05-24,2025-12-23,XGBoost,0.44000000000000006,0.49869451697127937,0.6081632653061224,1.0623861326194177,0.5613577023498695,0.6309523809523809,0.6794871794871795,0.654320987654321,1.0962624671867363,0.5326565858848258,0.5636058813019105,-0.36590594387035935,1.3510926957040033,-0.27484996186005006,1.205280439517541,5,1.2010443864229765,0.03655352480417755,0.8877284595300261,0.07571801566579635,1.3524804177545693,"{""1.0"": 191, ""2.0"": 149, ""-1.0"": 29, ""0.0"": 14}","[[56, 93], [75, 159]]",2.0962624671867363,1.5326565858848258,2024-08-05,0.7614263423901374,2025-11-12,2.3241673063735857
006208.TW,???50 ETF,1d_base,1,one_day,False,9,1904,1142,381,381,2024-06-11,2025-12-30,LogisticRegression_Ridge,0.4,0.49868766404199477,0.4879356568364611,0.8073548851841827,0.5223097112860893,0.5597826086956522,0.5049019607843137,0.5309278350515464,0.5702228590140062,0.5438972962629482,0.026325562751057907,-0.28400525004259414,1.2862440000173903,-0.2744932405443784,1.252619298677745,1,0.963254593175853,0.0026246719160104987,0.9763779527559056,0.02099737532808399,1.005249343832021,"{""1.0"": 369, ""-1.0"": 8, ""2.0"": 3, ""0.0"": 1}","[[96, 81], [101, 103]]",1.5702228590140062,1.5438972962629482,2025-04-22,0.9339361886650407,2025-12-29,1.5707492816630413
006208.TW,???50 ETF,1d_vol,1,one_day,True,13,1904,1142,381,381,2024-06-11,2025-12-30,PCA_LogReg,0.4,0.5013123359580053,0.4973544973544973,0.8017863208818974,0.5406824146981627,0.580110497237569,0.5147058823529411,0.5454545454545454,0.3909677977111594,0.5438972962629482,-0.15292949855178883,-0.292141122368198,0.975593844097459,-0.2744932405443784,1.252619298677745,1,0.9396325459317585,0.0026246719160104987,0.9658792650918635,0.031496062992125984,1.0026246719160106,"{""1.0"": 366, ""-1.0"": 12, ""2.0"": 2, ""0.0"": 1}","[[101, 76], [99, 105]]",1.3909677977111594,1.5438972962629482,2025-04-24,0.8584619740318167,2025-12-29,1.3914341244803758
006208.TW,???50 ETF,5d_base,5,five_day_confirm,False,9,1900,1140,380,380,2024-06-05,2025-12-23,RandomForest,0.4,0.4868421052631579,0.627151051625239,0.9579638161839708,0.5710526315789474,0.6056782334384858,0.8347826086956521,0.7020109689213894,0.47125234691664164,0.5503166616910864,-0.07906431477444475,-0.458643352433559,0.8551972165257075,-0.2744932405443784,1.260940908824336,1,1.3526315789473684,0.005263157894736842,0.9947368421052631,0.0,1.3526315789473684,"{""1.0"": 242, ""2.0"": 136, ""0.0"": 2}","[[25, 125], [38, 192]]",1.4712523469166416,1.5503166616910864,2025-04-09,0.658500946291557,2025-10-31,1.5836926071086648
006208.TW,???50 ETF,5d_vol,5,five_day_confirm,True,13,1900,1140,380,380,2024-06-05,2025-12-23,LogisticRegression_Ridge,0.42000000000000004,0.5447368421052632,0.6938053097345133,0.9352447443094807,0.5736842105263158,0.6259259259259259,0.7347826086956522,0.676,0.49007626891853295,0.5503166616910864,-0.06024039277255344,-0.27507254488874044,1.083912004210733,-0.2744932405443784,1.260940908824336,1,0.9789473684210527,0.02631578947368421,0.9184210526315789,0.05526315789473684,1.0894736842105264,"{""1.0"": 305, ""2.0"": 44, ""-1.0"": 21, ""0.0"": 10}","[[49, 101], [61, 169]]",1.490076268918533,1.5503166616910864,2025-04-09,0.8593616411758161,2025-10-31,1.5123796283819186
2330.TW,???,1d_base,1,one_day,False,9,1919,1151,384,384,2024-06-04,2025-12-30,PCA_LogReg,0.4,0.4661458333333333,0.31438127090301005,1.2319162212237305,0.484375,0.4727272727272727,0.2708333333333333,0.3443708609271523,0.9391178235141042,0.863769052850742,0.07534877066336221,-0.30514651291990813,1.4245863544034683,-0.3051465129199087,1.3664687254563506,1,1.0,0.0026041666666666665,0.9973958333333334,0.0,1.0,"{""1.0"": 382, ""0.0"": 1, ""2.0"": 1}","[[134, 58], [140, 52]]",1.9391178235141042,1.863769052850742,2024-08-05,0.9741909159212625,2025-12-29,1.9518752413446296
2330.TW,???,1d_vol,1,one_day,True,13,1919,1151,384,384,2024-06-04,2025-12-30,PCA_LogReg,0.42000000000000004,0.5078125,0.35494880546075086,0.7469642334687645,0.4765625,0.45454545454545453,0.234375,0.30927835051546393,0.6669192267879551,0.863769052850742,-0.1968498260627869,-0.2588029511131883,1.1532713483748303,-0.3051465129199087,1.3664687254563506,5,0.8984375,0.036458333333333336,0.9296875,0.033854166666666664,0.9661458333333334,"{""1.0"": 356, ""0.0"": 14, ""-1.0"": 13, ""2.0"": 1}","[[138, 54], [147, 45]]",1.6669192267879551,1.863769052850742,2024-08-05,0.9741909159212625,2025-12-29,1.6778858554311453
2330.TW,???,5d_base,5,five_day_confirm,False,9,1915,1149,383,383,2024-05-30,2025-12-23,XGBoost,0.42000000000000004,0.5352480417754569,0.6180257510729614,1.9847635894866977,0.4856396866840731,0.556910569105691,0.6088888888888889,0.5817409766454352,0.7003542985960864,0.8291645082652164,-0.12881020966912993,-0.41831188015006737,0.9260906926395599,-0.3051465129199089,1.3290088042321995,2,1.0496083550913837,0.010443864229765013,0.8798955613577023,0.10966057441253264,1.268929503916449,"{""1.0"": 230, ""2.0"": 107, ""-1.0"": 42, ""0.0"": 4}","[[49, 109], [88, 137]]",1.7003542985960864,1.8291645082652164,2025-04-09,0.7218813832763227,2025-12-10,1.73335572353769
2330.TW,???,5d_vol,5,five_day_confirm,True,13,1915,1149,383,383,2024-05-30,2025-12-23,RandomForest,0.43000000000000005,0.5169712793733682,0.5861297539149888,1.8178385426607249,0.49869451697127937,0.5863874345549738,0.49777777777777776,0.5384615384615384,0.957367831694032,0.8291645082652164,0.12820332342881557,-0.3353781440879786,1.1755110079965263,-0.3051465129199089,1.3290088042321995,6,1.0026109660574412,0.044386422976501305,0.9190600522193212,0.03655352480417755,1.0757180156657964,"{""1.0"": 306, ""2.0"": 46, ""0.0"": 17, ""-1.0"": 14}","[[79, 79], [113, 112]]",1.957367831694032,1.8291645082652164,2024-08-05,0.8372359180495182,2025-11-03,1.977051095651945
