Date,close,pred_up,position,strategy_ret,buy_hold_ret,strategy_cum,buy_hold_cum
2023-10-26,509.4272766113281,1,0,0.0,0.0,1.0,1.0
2023-10-27,511.34600830078125,1,1,0.0037664486719604096,0.0037664486719604096,1.0037664486719604,1.0037664486719604
2023-10-30,510.38677978515625,0,1,-0.0018758893196654247,-0.0018758893196654247,1.0018834939114583,1.0018834939114583
2023-10-31,507.5085754394531,0,0,-0.0,-0.005639261163689735,1.0018834939114583,0.9962336112337016
2023-11-01,506.5491638183594,1,0,-0.0,-0.0018904343050025751,1.0018834939114583,0.9943502970392288
2023-11-02,524.7771606445312,1,1,0.035984654853182585,0.035984654853182585,1.0379359256429628,1.030131649281345
2023-11-03,526.696044921875,0,1,0.003656569723779368,0.003656569723779368,1.0417312107238919,1.033898397481614
2023-11-06,527.6553344726562,1,0,0.0,0.0018213342591617554,1.0417312107238919,1.0357814720534397
2023-11-07,532.452392578125,0,1,0.009091271881602303,0.009091271881602303,1.0512018723881336,1.0451980430258039
2023-11-08,533.4116821289062,0,0,0.0,0.0018016437979297972,1.0512018723881336,1.0470811175976298
2023-11-09,534.3710327148438,0,0,0.0,0.0017985181391391158,1.0512018723881336,1.0489643119807792
2023-11-10,534.3710327148438,0,0,0.0,0.0,1.0512018723881336,1.0489643119807792
2023-11-13,547.80224609375,1,0,0.0,0.02513462099670649,1.0512018723881336,1.0753296324014872
2023-11-14,548.7616577148438,0,1,0.0017513831458981777,0.0017513831458981777,1.0530429296303707,1.07721294659596
2023-11-15,557.3959350585938,1,0,0.0,0.015734111927033778,1.0530429296303707,1.0941619356669505
2023-11-16,559.3147583007812,0,1,0.0034424779972350716,0.0034424779972350716,1.0566680067457672,1.0979285640558962
2023-11-17,556.4366455078125,0,0,-0.0,-0.005145783747442234,1.0566680067457672,1.0922788610951248
2023-11-20,553.5584716796875,0,0,-0.0,-0.005172509487577526,1.0566680067457672,1.08662903832303
2023-11-21,561.2334594726562,1,0,0.0,0.013864818597537187,1.0566680067457672,1.101694952822195
2023-11-22,553.5584716796875,0,1,-0.01367521423291529,-0.01367521423291529,1.0422178453804514,1.0866290383230301
2023-11-23,554.517822265625,0,0,0.0,0.0017330609773282823,1.0422178453804514,1.0885122327061796
2023-11-24,551.6397094726562,0,0,-0.0,-0.0051902980885437655,1.0422178453804514,1.0828625297454082
2023-11-27,544.9241333007812,1,0,-0.0,-0.012173844733358252,1.0422178453804514,1.069679929440716
2023-11-28,551.6397094726562,1,1,0.012323873657781759,0.012323873657781759,1.0550620064308056,1.0828625297454082
2023-11-29,550.6802978515625,0,1,-0.0017391997070169696,-0.0017391997070169696,1.0532270428983364,1.0809792155509352
2023-11-30,553.5584716796875,1,0,0.0,0.005226578541767335,1.0532270428983364,1.0866290383230301
2023-12-01,555.4772338867188,0,1,0.003466232214293541,0.003466232214293541,1.0568777724033958,1.0903955469006523
2023-12-04,550.6802978515625,0,0,-0.0,-0.008635702315991756,1.0568777724033958,1.0809792155509352
2023-12-05,546.8428344726562,0,0,-0.0,-0.006968586662493337,1.0568777724033958,1.0734463182070144
2023-12-06,546.8428344726562,1,0,0.0,0.0,1.0568777724033958,1.0734463182070144
2023-12-07,543.0054931640625,1,1,-0.00701726541282055,-0.00701726541282055,1.0494613805655306,1.0659136604857409
2023-12-08,546.8428344726562,1,1,0.007066855412886763,0.007066855412886763,1.0568777724033958,1.0734463182070144
2023-12-11,550.6802978515625,0,1,0.0070174886402358805,0.0070174886402358805,1.0642944001653545,1.0809792155509352
